STATECODE,STATE,SEX,AGE,POP2000,POP2008
1,Alabama,M,0,30479,32055
1,Alabama,M,1,29904,32321
1,Alabama,M,2,30065,31789
1,Alabama,M,3,29932,31371
1,Alabama,M,4,30319,31164
1,Alabama,M,5,31127,31049
1,Alabama,M,6,31466,30960
1,Alabama,M,7,32287,32459
1,Alabama,M,8,32497,31586
1,Alabama,M,9,33361,30975
1,Alabama,M,10,34488,31126
1,Alabama,M,11,32884,31006
1,Alabama,M,12,32417,31283
1,Alabama,M,13,32621,32076
1,Alabama,M,14,32644,32309
1,Alabama,M,15,33070,33061
1,Alabama,M,16,32544,33132
1,Alabama,M,17,32822,33595
1,Alabama,M,18,32881,34384
1,Alabama,M,19,33201,32177
1,Alabama,M,20,33175,31200
1,Alabama,M,21,31231,31046
1,Alabama,M,22,29859,32074
1,Alabama,M,23,29439,32230
1,Alabama,M,24,27663,31290
1,Alabama,M,25,28665,31284
1,Alabama,M,26,27853,30891
1,Alabama,M,27,28485,32350
1,Alabama,M,28,29964,33495
1,Alabama,M,29,31203,31501
1,Alabama,M,30,30971,28948
1,Alabama,M,31,29422,28659
1,Alabama,M,32,27952,26813
1,Alabama,M,33,28423,28315
1,Alabama,M,34,29791,27749
1,Alabama,M,35,32084,28308
1,Alabama,M,36,32652,29766
1,Alabama,M,37,32419,31536
1,Alabama,M,38,32784,31054
1,Alabama,M,39,33340,29667
1,Alabama,M,40,34262,28419
1,Alabama,M,41,32941,28704
1,Alabama,M,42,33566,30098
1,Alabama,M,43,33778,32459
1,Alabama,M,44,32627,33018
1,Alabama,M,45,32728,32473
1,Alabama,M,46,31404,32937
1,Alabama,M,47,30339,33314
1,Alabama,M,48,29491,33747
1,Alabama,M,49,29186,32654
1,Alabama,M,50,29429,32863
1,Alabama,M,51,29015,32924
1,Alabama,M,52,28811,31640
1,Alabama,M,53,29978,31831
1,Alabama,M,54,22420,30310
1,Alabama,M,55,22560,29266
1,Alabama,M,56,22803,28349
1,Alabama,M,57,23112,27794
1,Alabama,M,58,20387,27765
1,Alabama,M,59,19376,27166
1,Alabama,M,60,19321,27051
1,Alabama,M,61,18044,27867
1,Alabama,M,62,18131,20557
1,Alabama,M,63,16876,20600
1,Alabama,M,64,16850,20718
1,Alabama,M,65,16815,20750
